Run Date,Symbol,Company,Sector,Industry,Total Score,Tech Score,Fund Score,Grade,Flags,Close (₹),Day Change %,EMA 20,EMA 50,EMA 200,EMA Stack ✓,Supertrend,% from 52W High,RSI (14),MACD,MACD Signal,MACD Histogram,MACD Cross ✓,ADX,Volume,20D Avg Volume,Volume Ratio,Market Cap (Cr),P/E Ratio,Forward P/E,ROE %,Debt/Equity,Revenue Growth %,Earnings Growth %,Price/Book,Dividend Yield %,Current Ratio,Screener Link,TradingView Link
2026-06-25,OFSS,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,85.3,45.8,39.5,A+,⚡ Fresh MACD Cross | ✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 At 52W High | 🎯 VCP Pattern | 📉 Tight Base | 💎 High ROE | 👤 High Promoter,10468.5,6.14,9692.11,9212.94,8255.74,✓,Buy,98.9,68.91,141.7965,122.901,18.8955,✓,23.09,743926,276438,2.69,95557.0,36.27454,28.624153,32.61,0.415,20.3,30.6,12.20277,635.0,5.435,https://www.screener.in/company/OFSS/,https://www.tradingview.com/chart/?symbol=NSE:OFSS
2026-06-25,OBEROIRLTY,Oberoi Realty Limited,Real Estate,Real Estate - Development,70.1,42.9,27.2,B,🔥 Breakout Confirmed | ✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 📉 Tight Base,1753.1,2.86,1673.41,1649.46,1625.31,✓,Buy,87.87,64.67,17.3879,7.469,9.9188,,16.92,957281,474063,2.02,63601.0,25.387516,16.51913,14.91,15.765,52.1,62.4,3.5488577,46.0,3.991,https://www.screener.in/company/OBEROIRLTY/,https://www.tradingview.com/chart/?symbol=NSE:OBEROIRLTY
2026-06-25,AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional,69.69999999999999,45.3,24.4,B,🔥 Breakout Confirmed | ✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 At 52W High | 📉 Tight Base,1067.2,3.98,1012.07,996.4,930.25,✓,Buy,98.86,65.33,15.1475,7.6298,7.5177,,20.75,4900913,1826809,2.68,77369.0,29.53857,17.042809,,,37.1,62.6,3.8686779,9.0,,https://www.screener.in/company/AUBANK/,https://www.tradingview.com/chart/?symbol=NSE:AUBANK
2026-06-25,CREDITACC,CreditAccess Grameen Limited,Financial Services,Credit Services,68.19999999999999,45.3,22.9,B,🔥 Breakout Confirmed | ✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 Near 52W High | 📉 Tight Base,1460.3,6.53,1357.94,1323.41,1286.8,✓,Buy,93.13,66.27,31.8707,18.4788,13.3919,,23.78,1972612,283216,6.97,23425.0,30.162954,11.8749075,10.51,302.872,137.7,616.2,2.987084,0.0,2.289,https://www.screener.in/company/CREDITACC/,https://www.tradingview.com/chart/?symbol=NSE:CREDITACC
2026-06-25,KPRMILL,K.P.R. Mill Limited,Consumer Cyclical,Textile Manufacturing,66.2,48.5,17.7,B,🔥 Breakout Confirmed | ✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 Near 52W High,1218.45,7.72,1079.8,1009.19,974.85,✓,Buy,91.34,71.98,54.2434,43.2256,11.0178,,42.29,14993505,1440437,10.41,40805.0,47.01263,33.07329,16.2,10.463,0.9,11.2,7.142643,41.0,4.372,https://www.screener.in/company/KPRMILL/,https://www.tradingview.com/chart/?symbol=NSE:KPRMILL
2026-06-25,RBLBANK,RBL Bank Limited,Financial Services,Banks - Regional,66.2,37.0,29.2,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 At 52W High | 📉 Tight Base,377.05,1.56,362.02,345.77,309.9,✓,Buy,98.78,65.49,10.5339,9.7179,0.816,,23.91,7766931,5439155,1.43,57459.0,26.315601,19.469667,,,40.8,367.9,1.371359,33.0,,https://www.screener.in/company/RBLBANK/,https://www.tradingview.com/chart/?symbol=NSE:RBLBANK
2026-06-25,BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products,65.19999999999999,37.8,27.4,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 💎 High ROE,590.05,1.46,581.76,533.09,390.17,✓,Buy,93.27,56.27,21.0298,23.2978,-2.268,,51.94,744242,702408,1.06,7556.0,40.678623,28.04606,25.31,2.092,30.4,113.0,10.258025,0.0,3.492,https://www.screener.in/company/BAJAJCON/,https://www.tradingview.com/chart/?symbol=NSE:BAJAJCON
2026-06-25,LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,63.800000000000004,32.2,31.6,B,📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base | 💎 High ROE,2367.6,0.42,2303.82,2292.63,2195.72,✓,Sell,94.93,64.44,16.8071,4.2454,12.5617,,14.59,789891,860323,0.92,107152.0,20.117607,22.913656,26.91,29.388,31.9,89.0,4.7701244,51.0,1.899,https://www.screener.in/company/LUPIN/,https://www.tradingview.com/chart/?symbol=NSE:LUPIN
2026-06-25,NETWEB,Netweb Technologies India Limited,Technology,Computer Hardware,63.8,37.0,26.8,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 💎 High ROE,5074.0,3.02,4683.71,4298.05,3507.79,✓,Buy,96.76,63.59,250.5028,220.0894,30.4134,,29.14,1106741,2893292,0.38,28150.0,135.33534,67.90933,32.83,39.019,86.6,64.3,38.818134,5.0,1.443,https://www.screener.in/company/NETWEB/,https://www.tradingview.com/chart/?symbol=NSE:NETWEB
2026-06-25,FEDERALBNK,The Federal Bank Limited,Financial Services,Banks - Regional,62.2,38.4,23.8,B,📤 20D Breakout | ✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 At 52W High | 📉 Tight Base,325.2,1.66,311.95,299.95,267.78,✓,Buy,99.45,70.67,8.7923,7.9355,0.8567,,35.24,9481304,19878316,0.48,79930.0,18.517141,13.63857,11.73,,12.3,22.2,1.9948288,37.0,,https://www.screener.in/company/FEDERALBNK/,https://www.tradingview.com/chart/?symbol=NSE:FEDERALBNK
